	What Marrit Badge?	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well are the tutorials paced?
0	Astrnomy	6/24/2016 7:03:34	3	5
1	Astrnomy	6/24/2016 7:10:22	3	3
2	Rowing	6/24/2016 7:03:41	3	3
3	Intro Rowing	6/24/2016 7:04:59	4	3
4	Intro Rowing	6/24/2016 7:07:02	4	4
5	Intro Rowing	6/24/2016 7:08:41	4	4
6	Intro Rowing	6/24/2016 7:09:30	4	4
7	Astrnomy	6/24/2016 7:01:03	4	4
8	Astrnomy	6/24/2016 7:02:43	4	4
9	Astrnomy	6/24/2016 7:03:48	4	3
10	Astrnomy	6/24/2016 7:06:04	4	3
11	Astrnomy	6/24/2016 7:06:24	4	4
12	Rowing	6/24/2016 7:01:19	4	4
13	Rowing	6/24/2016 7:01:29	4	4
14	Rowing	6/24/2016 7:02:20	4	4
15	Rowing	6/24/2016 7:03:24	4	3
16	Rowing	6/24/2016 7:03:25	4	4
17	Rowing	6/24/2016 7:03:58	4	2
18	Rowing	6/24/2016 7:06:59	4	3
19	Rowing	6/24/2016 7:07:06	4	4
20	Rowing	6/24/2016 7:08:37	4	4
21	Rowing	6/24/2016 7:08:51	4	3
22	Intro Rowing	6/24/2016 7:01:55	5	3
23	Intro Rowing	6/24/2016 7:03:41	5	3
24	Intro Rowing	6/24/2016 7:06:21	5	4
25	Intro Rowing	6/24/2016 7:07:00	5	4
26	Astrnomy	6/24/2016 7:04:34	5	3
27	Astrnomy	6/24/2016 7:08:15	5	3
28	Astrnomy	6/24/2016 7:12:49	5	4
29	Rowing	6/24/2016 7:03:41	5	3
30	Rowing	6/24/2016 7:03:58	5	4
31	Rowing	6/24/2016 7:04:09	5	3
32	Rowing	6/24/2016 7:04:11	5	3
33	Rowing	6/24/2016 7:05:51	5	4
34	Rowing	6/24/2016 7:06:58	5	4
35	Rowing	6/24/2016 7:07:26	5	3
36	Rowing	6/24/2016 7:08:43	5	3
37	Rowing	6/24/2016 7:18:32	5	4
38	Rowing	6/24/2016 8:22:55	5	3
