	Unnamed: 0	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well are the tutorials paced?
0	6/24/2016 13:32:01	Astrnomy	2	4
1	6/24/2016 13:48:09	Rowing	3	4
2	6/24/2016 13:49:23	Rowing	3	3
3	6/24/2016 13:53:25	Rowing	3	5
4	6/24/2016 13:55:19	Rowing	3	3
5	6/24/2016 13:41:53	Astrnomy	3	3
6	6/24/2016 13:46:23	Rowing	4	4
7	6/24/2016 13:46:42	Rowing	4	3
8	6/24/2016 13:47:24	Rowing	4	3
9	6/24/2016 13:47:25	Rowing	4	4
10	6/24/2016 13:47:36	Rowing	4	3
11	6/24/2016 13:48:00	Rowing	4	4
12	6/24/2016 13:48:29	Rowing	4	4
13	6/24/2016 13:48:48	Rowing	4	3
14	6/24/2016 13:49:35	Rowing	4	4
15	6/24/2016 13:50:37	Rowing	4	3
16	6/24/2016 13:51:11	Rowing	4	4
17	6/24/2016 13:51:13	Rowing	4	4
18	6/24/2016 13:52:06	Rowing	4	3
19	6/24/2016 13:52:21	Rowing	4	3
20	6/24/2016 13:52:50	Rowing	4	5
21	6/24/2016 13:53:03	Rowing	4	3
22	6/24/2016 13:55:00	Rowing	4	3
23	6/24/2016 13:59:24	Rowing	4	3
24	6/24/2016 13:28:35	Astrnomy	4	4
25	6/24/2016 13:31:45	Astrnomy	4	4
26	6/24/2016 13:32:49	Astrnomy	4	4
27	6/24/2016 13:34:57	Astrnomy	4	3
28	6/24/2016 13:39:47	Astrnomy	4	4
29	6/24/2016 13:45:39	Astrnomy	4	3
30	6/24/2016 14:10:46	Astrnomy	4	4
31	6/24/2016 14:12:14	Astrnomy	4	3
32	6/24/2016 14:12:35	Astrnomy	4	4
33	6/24/2016 13:44:44	Intro Rowing	4	4
34	6/24/2016 13:45:54	Intro Rowing	4	3
35	6/24/2016 13:49:54	Intro Rowing	4	4
36	6/24/2016 13:50:04	Intro Rowing	4	3
37	6/24/2016 13:50:19	Intro Rowing	4	4
38	6/24/2016 13:51:46	Intro Rowing	4	3
39	6/24/2016 13:53:22	Intro Rowing	4	3
40	6/24/2016 13:55:06	Intro Rowing	4	3
41	6/24/2016 13:47:09	Rowing	5	3
42	6/24/2016 13:47:20	Rowing	5	3
43	6/24/2016 13:47:25	Rowing	5	3
44	6/24/2016 13:49:23	Rowing	5	3
45	6/24/2016 13:50:25	Rowing	5	3
46	6/24/2016 13:50:34	Rowing	5	3
47	6/24/2016 13:50:54	Rowing	5	4
48	6/24/2016 13:51:20	Rowing	5	4
49	6/24/2016 13:53:34	Rowing	5	3
50	6/24/2016 13:54:13	Rowing	5	4
51	6/24/2016 13:54:38	Rowing	5	4
52	6/24/2016 13:30:55	Astrnomy	5	4
53	6/24/2016 13:33:00	Astrnomy	5	2
54	6/24/2016 13:34:13	Astrnomy	5	3
55	6/24/2016 14:05:25	Astrnomy	5	4
56	6/24/2016 13:44:05	Intro Rowing	5	3
57	6/24/2016 13:45:50	Intro Rowing	5	2
58	6/24/2016 13:47:01	Intro Rowing	5	3
59	6/24/2016 13:49:01	Intro Rowing	5	3
60	6/24/2016 13:49:44	Intro Rowing	5	3
61	6/24/2016 13:50:23	Intro Rowing	5	3
