	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	Rowing	3	3
1	Rowing	4	3
2	Rowing	4	3
3	Rowing	4	4
4	Rowing	3	3
5	Rowing	5	3
6	Rowing	3	2
7	Rowing	5	3
8	Rowing	1	3
9	Rowing	4	3
10	Rowing	5	3
11	Rowing	4	4
12	Rowing	3	4
13	Astrnomy	4	3
14	Astrnomy	5	3
15	Astrnomy	1	5
16	Astrnomy	5	3
17	Astrnomy	4	3
18	Astrnomy	5	3
19	Intro Rowing	5	2
20	Intro Rowing	4	3
21	Intro Rowing	3	5
22	Intro Rowing	5	3
23	Intro Rowing	5	4
24	Intro Rowing	5	3
25	Intro Rowing	5	3
26	Intro Rowing	5	3
27	Intro Rowing	5	2
28	Intro Rowing	5	3
29	Intro Rowing	5	3
30	Intro Rowing	4	3
31	Intro Rowing	5	3
32	Intro Rowing	5	3
33	Intro Rowing	4	4
34	Intro Rowing	5	3
35	Intro Rowing	5	3
36	Computer Programing	5	4
37	Computer Programing	5	4
38	Computer Programing	4	4
39	Computer Programing	5	3
40	Intro Rowing	3	3
41	Intro Rowing	3	3
