	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/22/2016 12:52:43	Rowing	4	3
1	7/22/2016 12:53:47	Rowing	5	3
2	7/23/2016 14:14:16	Rowing	3	3
3	7/22/2016 14:37:17	Rowing	2	3
4	7/22/2016 12:49:36	Astrnomy	4	3
5	7/22/2016 12:50:23	Astrnomy	4	3
6	7/22/2016 12:53:36	Rowing	5	3
7	7/22/2016 13:11:42	Rowing	3	3
8	7/22/2016 14:03:30	Rowing	5	3
9	7/22/2016 14:25:23	Rowing	4	4
10	7/22/2016 14:54:14	Rowing	4	3
11	7/22/2016 14:26:04	Rowing	5	3
12	7/22/2016 12:45:30	Intro Rowing	4	4
13	7/22/2016 14:25:54	Rowing	5	3
14	7/22/2016 12:47:59	Rowing	4	5
15	7/22/2016 16:21:04	Rowing	2	2
16	7/22/2016 14:25:46	Rowing	4	3
17	7/22/2016 15:53:14	Rowing	5	4
18	7/22/2016 18:00:51	Rowing	3	4
19	7/22/2016 12:51:51	Rowing	4	4
20	7/22/2016 14:26:06	Rowing	4	3
21	7/22/2016 14:27:03	Rowing	4	3
22	7/22/2016 14:28:15	Rowing	3	4
23	7/22/2016 12:43:02	Astrnomy	5	3
24	7/22/2016 12:46:29	Astrnomy	5	3
25	7/22/2016 12:50:31	Astrnomy	4	5
26	7/22/2016 14:26:59	Astrnomy	4	3
27	7/22/2016 14:27:45	Intro Rowing	4	3
28	7/22/2016 12:45:12	Intro Rowing	4	3
29	7/22/2016 13:00:34	Intro Rowing	5	3
30	7/22/2016 14:40:12	Intro Rowing	4	3
31	7/22/2016 12:44:15	Intro Rowing	4	3
32	7/22/2016 12:45:16	Intro Rowing	5	3
33	7/22/2016 12:49:41	Intro Rowing	4	4
34	7/22/2016 12:52:37	Intro Rowing	4	2
35	7/22/2016 12:52:51	Intro Rowing	5	3
36	7/22/2016 15:24:21	Astrnomy	3	5
37	7/22/2016 15:54:08	Astrnomy	5	2
38	7/22/2016 15:24:25	Astrnomy	3	3
39	7/22/2016 12:45:22	Astrnomy	5	3
40	7/22/2016 14:04:51	Astrnomy	5	3
