	What Marrit Badge?	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	Rowing	7/29/2016 15:17:19	4	3
1	Rowing	7/29/2016 16:21:52	3	4
2	Rowing	7/29/2016 16:22:54	2	3
3	Rowing	7/29/2016 16:54:46	4	3
4	Rowing	7/29/2016 22:40:39	3	4
5	Rowing	7/31/2016 23:10:54	5	3
6	Rowing	7/30/2016 11:06:02	1	3
7	Rowing	7/29/2016 15:23:30	3	3
8	Rowing	7/29/2016 15:29:56	5	3
9	Rowing	7/29/2016 15:34:35	4	3
10	Rowing	7/29/2016 15:25:23	5	3
11	Astrnomy	7/29/2016 15:17:52	5	3
12	Astrnomy	7/29/2016 15:14:11	5	3
13	Astrnomy	7/29/2016 15:13:01	4	3
14	Astrnomy	7/29/2016 17:07:36	5	4
15	Astrnomy	7/29/2016 15:50:15	5	4
16	Astrnomy	7/29/2016 15:36:20	3	4
17	Intro Rowing	7/29/2016 18:46:09	5	3
18	Intro Rowing	7/29/2016 16:09:44	5	3
19	Intro Rowing	7/29/2016 15:00:35	3	4
20	Intro Rowing	7/29/2016 15:02:01	5	3
21	Intro Rowing	7/29/2016 15:09:17	5	3
22	Computer Programing	7/30/2016 9:00:15	4	3
23	Computer Programing	7/29/2016 21:45:54	4	4
24	Computer Programing	7/30/2016 13:09:48	4	3
