	What Marrit Badge?	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	Rowing	7/15/2016 15:26:38	5	3
1	Rowing	7/15/2016 15:31:37	4	3
2	Rowing	7/15/2016 15:32:59	4	4
3	Rowing	7/15/2016 16:18:00	3	4
4	Rowing	7/15/2016 16:19:09	4	4
5	Rowing	7/15/2016 16:21:25	3	4
6	Rowing	7/15/2016 17:34:39	4	3
7	Rowing	7/15/2016 20:20:33	5	3
8	Rowing	7/15/2016 20:39:49	4	3
9	Rowing	7/16/2016 12:46:10	4	3
10	Rowing	7/17/2016 16:27:57	5	2
11	Astrnomy	7/15/2016 15:30:54	4	3
12	Astrnomy	7/15/2016 15:54:54	4	3
13	Astrnomy	7/15/2016 19:08:37	5	4
14	Astrnomy	7/16/2016 9:18:45	5	5
15	Astrnomy	7/17/2016 17:05:09	5	3
16	Intro Rowing	7/14/2016 14:05:15	5	4
17	Intro Rowing	7/14/2016 14:06:20	3	4
18	Intro Rowing	7/14/2016 15:04:21	4	4
19	Intro Rowing	7/14/2016 15:47:33	3	5
20	Intro Rowing	7/15/2016 15:15:37	4	4
21	Intro Rowing	7/15/2016 16:03:37	4	3
22	Intro Rowing	7/15/2016 16:05:04	3	3
23	Intro Rowing	7/15/2016 16:20:07	4	3
24	Intro Rowing	7/16/2016 13:12:50	5	3
25	Intro Rowing	7/17/2016 21:45:33	4	4
26	Intro Rowing	7/19/2016 11:46:56	5	3
27	Computer Programing	7/15/2016 17:02:43	5	3
28	Computer Programing	7/16/2016 18:46:18	4	3
29	Computer Programing	7/18/2016 8:27:48	3	4
30	Computer Programing	7/18/2016 8:35:24	3	4
