,no_name,merit badge,Timestamp,rateing,pace,week_num,location
0,0,astronomy,6/24/2016 7:03:34,3,5,1,NY
1,1,astronomy,6/24/2016 7:10:22,3,3,1,NY
2,2,rowing,6/24/2016 7:03:41,3,3,1,NY
3,3,rowing,6/24/2016 7:04:59,4,3,1,NY
4,4,rowing,6/24/2016 7:07:02,4,4,1,NY
5,5,rowing,6/24/2016 7:08:41,4,4,1,NY
6,6,rowing,6/24/2016 7:09:30,4,4,1,NY
7,7,astronomy,6/24/2016 7:01:03,4,4,1,NY
8,8,astronomy,6/24/2016 7:02:43,4,4,1,NY
9,9,astronomy,6/24/2016 7:03:48,4,3,1,NY
10,10,astronomy,6/24/2016 7:06:04,4,3,1,NY
11,11,astronomy,6/24/2016 7:06:24,4,4,1,NY
12,12,rowing,6/24/2016 7:01:19,4,4,1,NY
13,13,rowing,6/24/2016 7:01:29,4,4,1,NY
14,14,rowing,6/24/2016 7:02:20,4,4,1,NY
15,15,rowing,6/24/2016 7:03:24,4,3,1,NY
16,16,rowing,6/24/2016 7:03:25,4,4,1,NY
17,17,rowing,6/24/2016 7:03:58,4,2,1,NY
18,18,rowing,6/24/2016 7:06:59,4,3,1,NY
19,19,rowing,6/24/2016 7:07:06,4,4,1,NY
20,20,rowing,6/24/2016 7:08:37,4,4,1,NY
21,21,rowing,6/24/2016 7:08:51,4,3,1,NY
22,22,rowing,6/24/2016 7:01:55,5,3,1,NY
23,23,rowing,6/24/2016 7:03:41,5,3,1,NY
24,24,rowing,6/24/2016 7:06:21,5,4,1,NY
25,25,rowing,6/24/2016 7:07:00,5,4,1,NY
26,26,astronomy,6/24/2016 7:04:34,5,3,1,NY
27,27,astronomy,6/24/2016 7:08:15,5,3,1,NY
28,28,astronomy,6/24/2016 7:12:49,5,4,1,NY
29,29,rowing,6/24/2016 7:03:41,5,3,1,NY
30,30,rowing,6/24/2016 7:03:58,5,4,1,NY
31,31,rowing,6/24/2016 7:04:09,5,3,1,NY
32,32,rowing,6/24/2016 7:04:11,5,3,1,NY
33,33,rowing,6/24/2016 7:05:51,5,4,1,NY
34,34,rowing,6/24/2016 7:06:58,5,4,1,NY
35,35,rowing,6/24/2016 7:07:26,5,3,1,NY
36,36,rowing,6/24/2016 7:08:43,5,3,1,NY
37,37,rowing,6/24/2016 7:18:32,5,4,1,NY
38,38,rowing,6/24/2016 8:22:55,5,3,1,NY
