,no_name,merit badge,Timestamp,rateing,pace,week_num,location
0,0,rowing,6/24/2016 14:02:56,3,2,1,SF
1,1,rowing,6/23/2016 14:48:47,3,3,1,SF
2,2,rowing,6/24/2016 9:50:50,3,4,1,SF
3,3,rowing,6/24/2016 13:21:09,3,5,1,SF
4,4,rowing,6/23/2016 13:21:46,4,2,1,SF
5,5,rowing,6/24/2016 13:58:52,4,2,1,SF
6,6,rowing,6/24/2016 14:12:41,4,2,1,SF
7,7,rowing,6/23/2016 13:19:38,4,3,1,SF
8,8,rowing,6/24/2016 9:49:30,4,3,1,SF
9,9,rowing,6/24/2016 9:53:41,4,3,1,SF
10,10,rowing,6/24/2016 9:54:45,4,3,1,SF
11,11,rowing,6/24/2016 11:37:05,4,3,1,SF
12,12,rowing,6/24/2016 11:40:59,4,3,1,SF
13,13,rowing,6/24/2016 11:46:04,4,3,1,SF
14,14,rowing,6/24/2016 13:07:03,4,3,1,SF
15,15,rowing,6/24/2016 13:11:15,4,3,1,SF
16,16,rowing,6/24/2016 13:20:57,4,3,1,SF
17,17,rowing,6/24/2016 13:27:16,4,3,1,SF
18,18,rowing,6/24/2016 13:33:49,4,3,1,SF
19,19,rowing,6/24/2016 13:37:25,4,3,1,SF
20,20,rowing,6/24/2016 13:38:57,4,3,1,SF
21,21,rowing,6/23/2016 16:11:39,4,4,1,SF
22,22,rowing,6/24/2016 9:51:03,4,4,1,SF
23,23,rowing,6/24/2016 13:58:11,4,4,1,SF
24,24,rowing,6/24/2016 14:07:33,4,4,1,SF
25,25,rowing,6/24/2016 15:34:30,4,4,1,SF
26,26,rowing,6/24/2016 13:16:51,4,5,1,SF
27,27,rowing,6/24/2016 14:05:35,4,5,1,SF
28,28,rowing,6/25/2016 20:09:34,4,2,1,SF
29,29,rowing,6/24/2016 13:32:30,5,2,1,SF
30,30,rowing,6/24/2016 14:05:44,5,2,1,SF
31,31,rowing,6/23/2016 13:17:43,5,3,1,SF
32,32,rowing,6/23/2016 14:44:06,5,3,1,SF
33,33,rowing,6/24/2016 9:49:15,5,3,1,SF
34,34,rowing,6/24/2016 9:49:18,5,3,1,SF
35,35,rowing,6/24/2016 9:50:06,5,3,1,SF
36,36,rowing,6/24/2016 9:50:19,5,3,1,SF
37,37,rowing,6/24/2016 11:34:57,5,3,1,SF
38,38,rowing,6/24/2016 13:05:10,5,3,1,SF
39,39,rowing,6/24/2016 13:07:59,5,3,1,SF
40,40,rowing,6/24/2016 13:09:46,5,3,1,SF
41,41,rowing,6/24/2016 13:18:32,5,3,1,SF
42,42,rowing,6/24/2016 13:27:04,5,3,1,SF
43,43,rowing,6/24/2016 13:27:52,5,3,1,SF
44,44,rowing,6/24/2016 13:38:21,5,3,1,SF
45,45,rowing,6/24/2016 13:38:29,5,3,1,SF
46,46,rowing,6/24/2016 14:01:31,5,3,1,SF
47,47,rowing,6/24/2016 15:38:31,5,3,1,SF
48,48,rowing,6/23/2016 13:19:41,5,4,1,SF
49,49,rowing,6/23/2016 13:19:58,5,4,1,SF
50,50,rowing,6/24/2016 9:50:59,5,4,1,SF
51,51,rowing,6/24/2016 9:51:08,5,4,1,SF
52,52,rowing,6/24/2016 11:05:49,5,4,1,SF
53,53,rowing,6/24/2016 13:34:12,5,4,1,SF
54,54,rowing,6/24/2016 15:38:21,5,4,1,SF
55,55,rowing,6/24/2016 16:23:30,5,4,1,SF
56,56,rowing,6/25/2016 19:10:35,5,3,1,SF
57,57,rowing,6/25/2016 21:41:09,5,3,1,SF
58,58,astronomy,6/24/2016 13:34:08,4,3,1,SF
59,59,astronomy,6/24/2016 13:36:37,4,3,1,SF
60,60,astronomy,6/24/2016 13:39:47,4,4,1,SF
61,61,astronomy,6/24/2016 13:32:17,5,3,1,SF
62,62,astronomy,6/24/2016 13:34:38,5,3,1,SF
63,63,astronomy,6/24/2016 13:35:43,5,3,1,SF
64,64,astronomy,6/24/2016 13:36:49,5,3,1,SF
65,65,astronomy,6/24/2016 14:11:08,5,3,1,SF
66,66,astronomy,6/24/2016 13:35:31,5,4,1,SF
67,67,astronomy,6/24/2016 13:45:54,5,4,1,SF
68,68,rowing,6/27/2016 15:01:42,3,3,1,SF
69,69,rowing,6/24/2016 11:41:34,4,3,1,SF
70,70,rowing,6/24/2016 11:47:36,4,3,1,SF
71,71,rowing,6/24/2016 13:36:03,4,3,1,SF
72,72,rowing,6/24/2016 13:42:02,4,3,1,SF
73,73,rowing,6/24/2016 13:45:04,4,3,1,SF
74,74,rowing,6/24/2016 13:47:15,4,3,1,SF
75,75,rowing,6/24/2016 11:42:30,4,4,1,SF
76,76,rowing,6/24/2016 12:58:35,4,4,1,SF
77,77,rowing,6/26/2016 22:45:58,4,4,1,SF
78,78,rowing,6/24/2016 11:41:47,5,2,1,SF
79,79,rowing,6/24/2016 11:41:42,5,3,1,SF
80,80,rowing,6/24/2016 11:53:29,5,3,1,SF
81,81,rowing,6/24/2016 13:33:35,5,3,1,SF
82,82,rowing,6/24/2016 13:56:06,5,3,1,SF
83,83,rowing,6/24/2016 16:19:53,5,3,1,SF
84,84,rowing,6/24/2016 11:53:20,5,4,1,SF
85,85,rowing,6/24/2016 14:21:25,5,4,1,SF
86,86,rowing,6/24/2016 13:20:34,5,5,1,SF
87,87,rowing,6/24/2016 13:41:56,5,5,1,SF
88,88,rowing,6/26/2016 23:32:51,5,3,1,SF
89,89,computer programing,6/29/2016 22:39:27,3,3,1,SF
90,90,computer programing,6/24/2016 13:30:31,5,3,1,SF
91,91,computer programing,6/24/2016 14:41:17,5,3,1,SF
92,92,computer programing,6/24/2016 17:29:38,5,3,1,SF
