	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/15/2016 6:28:26	Rowing	5	3
1	7/15/2016 6:29:53	Rowing	5	3
2	7/15/2016 6:30:09	Rowing	4	3
3	7/15/2016 6:30:24	Rowing	4	3
4	7/15/2016 6:31:29	Astrnomy	4	4
5	7/15/2016 6:31:36	Intro Rowing	4	4
6	7/15/2016 6:32:19	Rowing	4	4
7	7/15/2016 6:36:55	Rowing	5	3
8	7/15/2016 6:37:43	Rowing	4	5
9	7/15/2016 6:57:30	Rowing	5	3
10	7/15/2016 7:03:28	Rowing	4	4
11	7/15/2016 7:30:38	Astrnomy	4	4
12	7/15/2016 7:37:15	Rowing	5	3
13	7/15/2016 7:47:54	Astrnomy	4	3
14	7/15/2016 10:11:32	Rowing	4	3
15	7/15/2016 10:18:52	Rowing	4	3
