,no_name,Timestamp,merit badge,rateing,pace,week_num,location
0,0,7/22/2016 16:15:37,astronomy,3,2,5,LA
1,1,7/22/2016 16:16:07,rowing,4,3,5,LA
2,2,7/22/2016 16:16:20,rowing,5,3,5,LA
3,3,7/22/2016 16:17:04,astronomy,4,3,5,LA
4,4,7/22/2016 16:17:09,rowing,4,3,5,LA
5,5,7/22/2016 16:18:23,astronomy,4,3,5,LA
6,6,7/22/2016 16:18:45,rowing,5,3,5,LA
7,7,7/22/2016 16:19:58,astronomy,4,4,5,LA
8,8,7/22/2016 16:20:25,astronomy,5,4,5,LA
9,9,7/22/2016 16:20:30,rowing,5,3,5,LA
10,10,7/22/2016 16:23:12,astronomy,4,3,5,LA
11,11,7/22/2016 16:23:19,astronomy,4,3,5,LA
