,no_name,merit badge,rateing,pace,week_num,location
0,0,rowing,3,3,5,SF
1,1,rowing,4,3,5,SF
2,2,rowing,4,3,5,SF
3,3,rowing,4,4,5,SF
4,4,rowing,3,3,5,SF
5,5,rowing,5,3,5,SF
6,6,rowing,3,2,5,SF
7,7,rowing,5,3,5,SF
8,8,rowing,1,3,5,SF
9,9,rowing,4,3,5,SF
10,10,rowing,5,3,5,SF
11,11,rowing,4,4,5,SF
12,12,rowing,3,4,5,SF
13,13,astronomy,4,3,5,SF
14,14,astronomy,5,3,5,SF
15,15,astronomy,1,5,5,SF
16,16,astronomy,5,3,5,SF
17,17,astronomy,4,3,5,SF
18,18,astronomy,5,3,5,SF
19,19,rowing,5,2,5,SF
20,20,rowing,4,3,5,SF
21,21,rowing,3,5,5,SF
22,22,rowing,5,3,5,SF
23,23,rowing,5,4,5,SF
24,24,rowing,5,3,5,SF
25,25,rowing,5,3,5,SF
26,26,rowing,5,3,5,SF
27,27,rowing,5,2,5,SF
28,28,rowing,5,3,5,SF
29,29,rowing,5,3,5,SF
30,30,rowing,4,3,5,SF
31,31,rowing,5,3,5,SF
32,32,rowing,5,3,5,SF
33,33,rowing,4,4,5,SF
34,34,rowing,5,3,5,SF
35,35,rowing,5,3,5,SF
36,36,computer programing,5,4,5,SF
37,37,computer programing,5,4,5,SF
38,38,computer programing,4,4,5,SF
39,39,computer programing,5,3,5,SF
40,40,rowing,3,3,5,SF
41,41,rowing,3,3,5,SF
