,no_name,Timestamp,merit badge,rateing,pace,week_num,location
0,0,7/22/2016 12:52:43,rowing,4,3,5,SV
1,1,7/22/2016 12:53:47,rowing,5,3,5,SV
2,2,7/23/2016 14:14:16,rowing,3,3,5,SV
3,3,7/22/2016 14:37:17,rowing,2,3,5,SV
4,4,7/22/2016 12:49:36,astronomy,4,3,5,SV
5,5,7/22/2016 12:50:23,astronomy,4,3,5,SV
6,6,7/22/2016 12:53:36,rowing,5,3,5,SV
7,7,7/22/2016 13:11:42,rowing,3,3,5,SV
8,8,7/22/2016 14:03:30,rowing,5,3,5,SV
9,9,7/22/2016 14:25:23,rowing,4,4,5,SV
10,10,7/22/2016 14:54:14,rowing,4,3,5,SV
11,11,7/22/2016 14:26:04,rowing,5,3,5,SV
12,12,7/22/2016 12:45:30,rowing,4,4,5,SV
13,13,7/22/2016 14:25:54,rowing,5,3,5,SV
14,14,7/22/2016 12:47:59,rowing,4,5,5,SV
15,15,7/22/2016 16:21:04,rowing,2,2,5,SV
16,16,7/22/2016 14:25:46,rowing,4,3,5,SV
17,17,7/22/2016 15:53:14,rowing,5,4,5,SV
18,18,7/22/2016 18:00:51,rowing,3,4,5,SV
19,19,7/22/2016 12:51:51,rowing,4,4,5,SV
20,20,7/22/2016 14:26:06,rowing,4,3,5,SV
21,21,7/22/2016 14:27:03,rowing,4,3,5,SV
22,22,7/22/2016 14:28:15,rowing,3,4,5,SV
23,23,7/22/2016 12:43:02,astronomy,5,3,5,SV
24,24,7/22/2016 12:46:29,astronomy,5,3,5,SV
25,25,7/22/2016 12:50:31,astronomy,4,5,5,SV
26,26,7/22/2016 14:26:59,astronomy,4,3,5,SV
27,27,7/22/2016 14:27:45,rowing,4,3,5,SV
28,28,7/22/2016 12:45:12,rowing,4,3,5,SV
29,29,7/22/2016 13:00:34,rowing,5,3,5,SV
30,30,7/22/2016 14:40:12,rowing,4,3,5,SV
31,31,7/22/2016 12:44:15,rowing,4,3,5,SV
32,32,7/22/2016 12:45:16,rowing,5,3,5,SV
33,33,7/22/2016 12:49:41,rowing,4,4,5,SV
34,34,7/22/2016 12:52:37,rowing,4,2,5,SV
35,35,7/22/2016 12:52:51,rowing,5,3,5,SV
36,36,7/22/2016 15:24:21,astronomy,3,5,5,SV
37,37,7/22/2016 15:54:08,astronomy,5,2,5,SV
38,38,7/22/2016 15:24:25,astronomy,3,3,5,SV
39,39,7/22/2016 12:45:22,astronomy,5,3,5,SV
40,40,7/22/2016 14:04:51,astronomy,5,3,5,SV
