	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	8/5/2016 13:37:43	Rowing	3	3
1	8/5/2016 13:37:50	Rowing	5	3
2	8/5/2016 13:39:25	Rowing	3	3
3	8/5/2016 13:39:27	Rowing	4	3
4	8/5/2016 13:41:05	Rowing	4	3
5	8/5/2016 13:43:54	Rowing	4	3
6	8/5/2016 13:34:26	Rowing	3	3
7	8/5/2016 13:35:21	Rowing	3	3
8	8/5/2016 13:35:36	Rowing	5	3
9	8/5/2016 13:36:39	Rowing	4	4
10	8/5/2016 13:39:14	Rowing	4	3
11	8/5/2016 13:36:43	Rowing	4	3
12	8/5/2016 13:49:53	Rowing	4	3
13	8/5/2016 13:34:54	Rowing	5	3
14	8/5/2016 13:38:26	Rowing	4	3
15	8/5/2016 13:51:09	Rowing	3	1
16	8/5/2016 13:52:31	Rowing	5	2
17	8/5/2016 13:35:43	Rowing	5	3
18	8/5/2016 13:38:05	Rowing	3	3
19	8/5/2016 13:35:03	Rowing	4	3
20	8/5/2016 13:36:44	Rowing	2	3
21	8/5/2016 13:38:33	Rowing	3	3
22	8/5/2016 13:40:07	Rowing	3	4
23	8/5/2016 13:34:18	Rowing	5	5
24	8/5/2016 13:34:53	Astrnomy	5	4
25	8/5/2016 13:38:00	Astrnomy	3	3
26	8/5/2016 13:51:41	Astrnomy	5	3
27	8/5/2016 13:34:04	Astrnomy	5	4
28	8/5/2016 13:32:40	Astrnomy	5	5
29	8/5/2016 15:07:12	Astrnomy	4	3
30	8/5/2016 13:36:23	Astrnomy	4	3
31	8/5/2016 13:51:20	Astrnomy	5	3
32	8/5/2016 13:39:45	Astrnomy	4	4
33	8/5/2016 14:44:00	Astrnomy	5	3
34	8/5/2016 14:03:39	Astrnomy	3	3
35	8/5/2016 13:47:15	Intro Rowing	4	4
36	8/5/2016 13:45:29	Intro Rowing	4	3
37	8/5/2016 13:49:31	Intro Rowing	5	3
38	8/5/2016 13:47:02	Intro Rowing	5	3
39	8/5/2016 13:48:45	Intro Rowing	5	3
40	8/5/2016 13:44:33	Intro Rowing	5	3
41	8/5/2016 13:43:43	Intro Rowing	5	4
42	8/5/2016 13:44:24	Intro Rowing	4	4
43	8/5/2016 13:43:17	Intro Rowing	4	3
44	8/5/2016 13:51:18	Intro Rowing	5	3
45	8/5/2016 13:43:35	Intro Rowing	4	2
46	8/7/2016 17:45:06	Rowing	3	3
