rating,location,Merrit Badge,submit
10,New York,Rowing,9/7/16 1:04
10,San Francisco,Astronomy,9/7/16 1:04
10,New York,Astronomy,9/7/16 1:05
9,Sunnyvale,cannoeing,9/7/16 1:06
3,San Francisco,Astronomy,9/7/16 1:11
10,San Francisco,Rowing,9/7/16 1:13
8,San Francisco,Rowing,9/7/16 1:14
3,New York,Sports,9/7/16 1:15
6,Singapore,Rowing,9/7/16 1:21
9,New York,Sports,9/7/16 1:27
10,Sunnyvale,Sports,9/7/16 1:29
10,San Francisco,Comuter Programing,9/7/16 1:33
8,San Francisco,Astronomy,9/7/16 1:36
8,Sunnyvale,Rowing,9/7/16 1:50
8,Los Angeles,Sports,9/7/16 1:51
10,San Francisco,Rowing,9/7/16 2:33
9,Sunnyvale,Sports,9/7/16 2:41
10,New York,Sports,9/7/16 2:43
7,Singapore,Rowing,9/7/16 2:50
10,San Francisco,Astronomy,9/7/16 2:56
10,San Francisco,Rowing,9/7/16 2:59
10,Sunnyvale,Sports,9/7/16 3:01
4,New York,Astronomy,9/7/16 3:08
9,San Francisco,Sports,9/7/16 3:31
10,Sunnyvale,Sports,9/7/16 3:31
9,Sunnyvale,Rowing,9/7/16 3:42
10,San Francisco,Astronomy,9/7/16 4:05
10,Sunnyvale,Rowing,9/7/16 4:10
7,Sunnyvale,Sports,9/7/16 4:21
10,San Francisco,Sports,9/7/16 5:43
9,Sunnyvale,Rowing,9/7/16 6:40
8,Sunnyvale,Rowing,9/7/16 7:58
5,Sunnyvale,Sports,9/7/16 10:52
8,Singapore,Rowing,9/7/16 11:49
9,Singapore,Rowing,9/7/16 12:26
9,Singapore,Rowing,9/7/16 12:26
10,San Francisco,Rowing,9/7/16 12:48
10,New York,Astronomy,9/7/16 13:10
9,San Francisco,cannoeing,9/7/16 14:40
10,New York,Rowing,9/7/16 14:54
8,Sunnyvale,Rowing,9/7/16 15:58
10,San Francisco,Rowing,9/7/16 17:21
9,San Francisco,Comuter Programing,9/7/16 19:25
7,New York,cannoeing,9/7/16 19:26
10,San Francisco,Rowing,9/7/16 19:40
10,Los Angeles,Sports,9/7/16 19:57
10,Sunnyvale,Astronomy,9/8/16 0:00
8,New York,Rowing,9/8/16 0:58
10,San Francisco,Sports,9/8/16 1:59
7,Sunnyvale,Rowing,9/8/16 6:04
10,Los Angeles,Sports,9/8/16 14:27
8,San Francisco,Sports,9/8/16 22:06
8,New York,Rowing,9/8/16 22:20
10,San Francisco,Rowing,9/8/16 23:07
7,San Francisco,Rowing,9/8/16 23:11
7,San Francisco,Astronomy,9/9/16 1:42
10,San Francisco,Astronomy,9/9/16 4:25
9,San Francisco,Rowing,9/9/16 11:09
10,New York,Sports,9/9/16 13:28
8,San Francisco,Sports,9/10/16 22:30
9,San Francisco,Rowing,9/12/16 0:13
5,San Francisco,Comuter Programing,9/13/16 4:42
10,San Francisco,Sports,9/13/16 20:13
9,San Francisco,Astronomy,9/14/16 12:10
9,Sunnyvale,Sports,9/26/16 16:34
