,Timestamp,location,merit badge,pace,rateing,week_num
0,7/1/2016 13:27:56,SV,rowing,4,3,2
1,7/1/2016 13:29:33,SV,rowing,5,3,2
2,7/1/2016 13:29:43,SV,rowing,3,3,2
3,7/1/2016 13:30:28,SV,rowing,4,3,2
4,7/1/2016 13:34:11,SV,rowing,3,3,2
5,7/1/2016 13:35:20,SV,rowing,3,3,2
6,7/1/2016 16:35:14,SV,rowing,3,3,2
7,7/1/2016 17:01:13,SV,rowing,4,3,2
8,7/2/2016 9:50:36,SV,rowing,3,3,2
9,7/1/2016 10:36:57,SV,astronomy,3,3,2
10,7/1/2016 10:41:44,SV,astronomy,5,3,2
11,7/1/2016 10:47:58,SV,astronomy,3,3,2
12,7/1/2016 10:56:51,SV,astronomy,3,3,2
13,7/4/2016 23:02:16,SV,rowing,4,3,2
14,7/1/2016 13:27:10,SV,rowing,3,4,2
15,7/1/2016 13:28:59,SV,rowing,3,4,2
16,7/1/2016 13:29:07,SV,rowing,3,4,2
17,7/1/2016 13:29:40,SV,rowing,4,4,2
18,7/1/2016 13:30:05,SV,rowing,4,4,2
19,7/1/2016 13:30:53,SV,rowing,3,4,2
20,7/1/2016 13:31:04,SV,rowing,4,4,2
21,7/1/2016 13:39:46,SV,rowing,3,4,2
22,7/1/2016 13:41:30,SV,rowing,4,4,2
23,7/1/2016 13:49:17,SV,rowing,3,4,2
24,7/1/2016 15:59:22,SV,rowing,3,4,2
25,7/1/2016 15:59:54,SV,rowing,3,4,2
26,7/1/2016 16:02:57,SV,rowing,3,4,2
27,7/1/2016 16:30:11,SV,rowing,4,4,2
28,7/1/2016 16:32:24,SV,rowing,4,4,2
29,7/1/2016 17:51:29,SV,rowing,4,4,2
30,7/1/2016 9:46:04,SV,astronomy,4,4,2
31,7/1/2016 9:47:30,SV,astronomy,2,4,2
32,7/1/2016 10:41:18,SV,astronomy,3,4,2
33,7/1/2016 10:41:34,SV,astronomy,2,4,2
34,7/1/2016 10:45:47,SV,astronomy,3,4,2
35,7/1/2016 13:12:22,SV,rowing,3,4,2
36,7/1/2016 13:19:07,SV,rowing,3,4,2
37,7/1/2016 13:25:54,SV,rowing,3,4,2
38,7/1/2016 13:28:33,SV,rowing,4,4,2
39,7/1/2016 13:29:01,SV,rowing,4,4,2
40,7/1/2016 13:33:15,SV,rowing,3,4,2
41,7/1/2016 13:33:28,SV,rowing,3,4,2
42,7/1/2016 13:29:47,SV,rowing,3,5,2
43,7/1/2016 13:30:07,SV,rowing,3,5,2
44,7/1/2016 13:32:18,SV,rowing,4,5,2
45,7/1/2016 16:01:17,SV,rowing,3,5,2
46,7/1/2016 16:02:10,SV,rowing,4,5,2
47,7/1/2016 16:04:18,SV,rowing,3,5,2
48,7/1/2016 16:44:38,SV,rowing,3,5,2
49,7/1/2016 9:41:30,SV,astronomy,4,5,2
50,7/1/2016 10:43:14,SV,astronomy,2,5,2
51,7/1/2016 10:47:06,SV,astronomy,3,5,2
52,7/1/2016 10:47:57,SV,astronomy,4,5,2
53,7/1/2016 13:25:32,SV,rowing,2,5,2
54,7/1/2016 13:26:00,SV,rowing,5,5,2
55,7/1/2016 13:28:10,SV,rowing,2,5,2
0,7/8/2016 7:36:11,SG,,3,4,3
1,7/8/2016 22:05:05,SG,,3,5,3
0,7/8/2016 15:56:20,SF,rowing,2,3,3
1,7/8/2016 16:02:55,SF,rowing,3,5,3
2,7/8/2016 16:19:51,SF,rowing,3,3,3
3,7/8/2016 16:34:12,SF,rowing,3,1,3
4,7/8/2016 16:39:27,SF,rowing,2,5,3
5,7/8/2016 16:46:21,SF,rowing,5,5,3
6,7/8/2016 17:33:28,SF,rowing,5,3,3
7,7/9/2016 14:23:38,SF,rowing,3,5,3
8,7/10/2016 20:55:08,SF,rowing,3,5,3
9,7/8/2016 15:58:04,SF,astronomy,3,5,3
10,7/8/2016 16:08:03,SF,astronomy,4,5,3
11,7/8/2016 15:55:12,SF,rowing,3,5,3
12,7/8/2016 15:56:10,SF,rowing,3,4,3
13,7/8/2016 15:58:45,SF,rowing,3,4,3
14,7/8/2016 16:40:17,SF,rowing,4,4,3
15,7/8/2016 18:34:39,SF,rowing,3,5,3
16,7/9/2016 8:14:45,SF,rowing,3,5,3
17,7/8/2016 16:23:15,SF,computer programing,3,5,3
