	What Marrit Badge?	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	Rowing	7/1/2016 16:35:14	2	3
1	Rowing	7/1/2016 16:10:55	3	2
2	Rowing	7/1/2016 17:00:26	3	3
3	Rowing	7/3/2016 14:53:37	3	3
4	Rowing	7/1/2016 15:35:19	4	2
5	Rowing	7/1/2016 15:51:23	4	2
6	Rowing	7/1/2016 16:07:02	4	5
7	Rowing	7/1/2016 16:07:26	4	3
8	Rowing	7/1/2016 16:08:19	4	4
9	Rowing	7/1/2016 16:12:30	4	4
10	Rowing	7/1/2016 16:19:32	4	3
11	Rowing	7/1/2016 16:21:07	4	5
12	Rowing	7/1/2016 16:41:10	4	3
13	Rowing	7/1/2016 17:06:05	4	3
14	Rowing	7/1/2016 17:18:27	4	3
15	Rowing	7/1/2016 19:06:08	4	2
16	Rowing	7/2/2016 0:32:56	4	3
17	Rowing	7/1/2016 16:05:40	5	3
18	Rowing	7/1/2016 16:07:13	5	2
19	Rowing	7/1/2016 16:07:24	5	3
20	Rowing	7/1/2016 16:07:58	5	3
21	Rowing	7/1/2016 16:07:58	5	4
22	Rowing	7/1/2016 16:08:49	5	3
23	Rowing	7/1/2016 16:10:20	5	3
24	Rowing	7/1/2016 16:10:46	5	2
25	Rowing	7/1/2016 16:12:17	5	3
26	Rowing	7/1/2016 16:19:33	5	4
27	Rowing	7/1/2016 16:22:03	5	3
28	Astrnomy	7/1/2016 16:10:34	4	4
29	Astrnomy	7/1/2016 16:23:13	4	5
30	Astrnomy	7/1/2016 16:07:04	5	3
31	Astrnomy	7/1/2016 16:15:04	5	3
32	Astrnomy	7/1/2016 16:15:41	5	3
33	Astrnomy	7/1/2016 16:16:13	5	3
34	Astrnomy	7/1/2016 16:17:34	5	3
35	Astrnomy	7/1/2016 16:18:02	5	3
36	Astrnomy	7/1/2016 16:18:02	5	3
37	Intro Rowing	7/1/2016 15:40:51	3	3
38	Intro Rowing	7/1/2016 15:38:22	4	2
39	Intro Rowing	7/1/2016 15:40:24	4	3
40	Intro Rowing	7/1/2016 15:40:28	4	3
41	Intro Rowing	7/1/2016 15:42:15	4	3
42	Intro Rowing	7/1/2016 15:49:06	4	4
43	Intro Rowing	7/1/2016 15:50:59	4	4
44	Intro Rowing	7/1/2016 16:20:36	4	4
45	Intro Rowing	7/1/2016 17:13:25	4	4
46	Intro Rowing	7/5/2016 9:48:32	4	3
47	Intro Rowing	7/5/2016 16:07:37	4	4
48	Intro Rowing	7/5/2016 16:10:40	4	3
49	Intro Rowing	7/5/2016 16:11:11	4	3
50	Intro Rowing	7/1/2016 16:24:01	5	4
51	Intro Rowing	7/4/2016 18:31:39	5	3
52	Intro Rowing	7/5/2016 9:39:22	5	3
53	Intro Rowing	7/5/2016 10:15:27	5	3
54	Intro Rowing	7/5/2016 16:09:01	5	3
55	Computer Programing	7/2/2016 12:45:15	1	3
56	Computer Programing	7/2/2016 12:49:55	2	3
57	Computer Programing	7/5/2016 12:00:21	2	3
58	Computer Programing	7/1/2016 15:35:33	5	3
59	Computer Programing	7/2/2016 21:55:49	5	3
60	Computer Programing	7/5/2016 11:30:35	5	3
61	Computer Programing	7/5/2016 18:24:11	5	3
