	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/22/2016 16:15:37	Astrnomy	3	2
1	7/22/2016 16:16:07	Intro Rowing	4	3
2	7/22/2016 16:16:20	Intro Rowing	5	3
3	7/22/2016 16:17:04	Astrnomy	4	3
4	7/22/2016 16:17:09	Intro Rowing	4	3
5	7/22/2016 16:18:23	Astrnomy	4	3
6	7/22/2016 16:18:45	Intro Rowing	5	3
7	7/22/2016 16:19:58	Astrnomy	4	4
8	7/22/2016 16:20:25	Astrnomy	5	4
9	7/22/2016 16:20:30	Intro Rowing	5	3
10	7/22/2016 16:23:12	Astrnomy	4	3
11	7/22/2016 16:23:19	Astrnomy	4	3
